Site ID,City,Country,Latitude,Longitude,Metro
atl02,Atlanta_GA,US,33.6367,-84.4281,"[u'atl02', u'atl']"
atl01,Atlanta_GA,US,33.6367,-84.4281,"[u'atl01', u'atl']"
ath03,Athens,GR,37.9364,23.9444,"[u'ath03', u'ath']"
ath02,Athens,GR,37.9364,23.9444,"[u'ath02', u'ath']"
ath01,Athens,GR,37.9364,23.9444,"[u'ath01', u'ath']"
arn01,Stockholm,SE,59.6519,17.9186,"[u'arn01', u'arn']"
ams02,Amsterdam,NL,52.3086,4.76389,"[u'ams02', u'ams']"
ams01,Amsterdam,NL,52.3086,4.76389,"[u'ams01', u'ams']"
akl01,Auckland,NZ,-36.85,174.783,"[u'akl01', u'akl']"
acc02,Accra,GH,5.606,-0.1681,"[u'acc02', u'acc']"
acc01,Accra,GH,5.606,-0.1681,"[u'acc01', u'acc']"
