109005, AS10774x, na, 2013-05-01, 2015-03-01, 0.363795, 3.535122, 2.313993, https://viz.measurementlab.net/location/na?aggr=month&isps=AS10774x&start=2012-05-01&end=2015-03-01
108901, AS28573, sa, 2014-01-01, 2018-04-01, 0.753735, 3.830264, 0.740160, https://viz.measurementlab.net/location/sa?aggr=month&isps=AS28573&start=2013-01-01&end=2018-04-01
108686, AS3352, eues, 2014-05-01, 2017-09-01, 0.671835, 11.285629, 6.738241, https://viz.measurementlab.net/location/eues?aggr=month&isps=AS3352&start=2013-05-01&end=2017-09-01
108256, AS3215, eu, 2014-04-01, 2017-07-01, 0.891375, 26.713582, 3.872454, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS3215&start=2013-04-01&end=2017-07-01
107524, AS12844, eu, 2015-12-01, 2019-04-01, 0.378550, 11.275692, 7.152888, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS12844&start=2014-12-01&end=2019-04-01
105033, AS20115, nausal, 2016-11-01, 2019-01-01, 0.340559, 17.032734, 11.610215, https://viz.measurementlab.net/location/nausal?aggr=month&isps=AS20115&start=2015-11-01&end=2019-01-01
104775, AS9318, askr, 2010-11-01, 2012-12-01, 0.378039, 1.105951, 0.687858, https://viz.measurementlab.net/location/askr?aggr=month&isps=AS9318&start=2009-11-01&end=2012-12-01
101617, AS2497, asjp, 2016-12-01, 2019-01-01, 0.541986, 10.353407, 5.542651, https://viz.measurementlab.net/location/asjp?aggr=month&isps=AS2497&start=2015-12-01&end=2019-01-01
99874, AS28573, sabr, 2013-09-01, 2018-02-01, 0.749063, 3.390924, 0.601731, https://viz.measurementlab.net/location/sabr?aggr=month&isps=AS28573&start=2012-09-01&end=2018-02-01
99384, AS17676, as, 2016-05-01, 2018-07-01, 0.361017, 11.543280, 7.859420, https://viz.measurementlab.net/location/as?aggr=month&isps=AS17676&start=2015-05-01&end=2018-07-01
95834, AS63949, nausnj, 2016-02-01, 2019-04-01, 0.997517, 15.519010, 0.466587, https://viz.measurementlab.net/location/nausnj?aggr=month&isps=AS63949&start=2015-02-01&end=2019-04-01
93146, AS27699, sabr, 2014-05-01, 2018-04-01, 0.768632, 3.782698, 0.788899, https://viz.measurementlab.net/location/sabr?aggr=month&isps=AS27699&start=2013-05-01&end=2018-04-01
90117, AS12083, nausmi, 2016-09-01, 2019-02-01, 0.461730, 12.168456, 8.983059, https://viz.measurementlab.net/location/nausmi?aggr=month&isps=AS12083&start=2015-09-01&end=2019-02-01
82741, AS5089, eugb, 2014-06-01, 2016-03-01, 0.394155, 24.891926, 15.737634, https://viz.measurementlab.net/location/eugb?aggr=month&isps=AS5089&start=2013-06-01&end=2016-03-01
81567, AS12844, eufr, 2016-06-01, 2019-03-01, 0.336182, 10.151748, 6.840599, https://viz.measurementlab.net/location/eufr?aggr=month&isps=AS12844&start=2015-06-01&end=2019-03-01
80059, AS3352, eu, 2014-04-01, 2017-05-01, 0.723661, 9.197725, 6.072702, https://viz.measurementlab.net/location/eu?aggr=month&isps=AS3352&start=2013-04-01&end=2017-05-01
77946, AS54614, naca, 2016-10-01, 2019-01-01, 0.334123, 9.855757, 6.027266, https://viz.measurementlab.net/location/naca?aggr=month&isps=AS54614&start=2015-10-01&end=2019-01-01
77380, AS27699, sa, 2014-05-01, 2018-05-01, 0.631419, 2.792859, 0.945452, https://viz.measurementlab.net/location/sa?aggr=month&isps=AS27699&start=2013-05-01&end=2018-05-01
73887, AS4761, as, 2016-05-01, 2019-04-01, 0.524729, 1.735860, 0.961170, https://viz.measurementlab.net/location/as?aggr=month&isps=AS4761&start=2015-05-01&end=2019-04-01
71925, AS13367x, nausfljacksonville, 2015-11-01, 2018-10-01, 0.541587, 14.923023, 8.488027, https://viz.measurementlab.net/location/nausfljacksonville?aggr=month&isps=AS13367x&start=2014-11-01&end=2018-10-01
68853, AS22773, nausri, 2017-03-01, 2019-04-01, 0.312553, 35.448235, 24.368772, https://viz.measurementlab.net/location/nausri?aggr=month&isps=AS22773&start=2016-03-01&end=2019-04-01
68559, AS10796x, naustx, 2012-02-01, 2015-02-01, 0.742385, 11.153347, 5.050166, https://viz.measurementlab.net/location/naustx?aggr=month&isps=AS10796x&start=2011-02-01&end=2015-02-01
68089, AS10774x, nauscalosangeles, 2016-07-01, 2018-04-01, 0.321565, 7.862733, 5.334354, https://viz.measurementlab.net/location/nauscalosangeles?aggr=month&isps=AS10774x&start=2015-07-01&end=2018-04-01
66359, AS11486x, nausdcwashington, 2017-01-01, 2019-01-01, 0.427176, 31.971307, 20.924090, https://viz.measurementlab.net/location/nausdcwashington?aggr=month&isps=AS11486x&start=2016-01-01&end=2019-01-01
65783, AS23700, as, 2016-10-01, 2019-03-01, 0.629586, 3.706353, 2.091408, https://viz.measurementlab.net/location/as?aggr=month&isps=AS23700&start=2015-10-01&end=2019-03-01
64159, AS55430, assg, 2017-03-01, 2019-04-01, 0.507326, 87.140112, 50.163204, https://viz.measurementlab.net/location/assg?aggr=month&isps=AS55430&start=2016-03-01&end=2019-04-01
62747, AS7545, oc, 2011-07-01, 2015-01-01, 0.374025, 3.659986, 2.423848, https://viz.measurementlab.net/location/oc?aggr=month&isps=AS7545&start=2010-07-01&end=2015-01-01
62167, AS2518, as, 2013-12-01, 2019-03-01, 0.726474, 7.864110, 3.548844, https://viz.measurementlab.net/location/as?aggr=month&isps=AS2518&start=2012-12-01&end=2019-03-01
